release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
17-Nov-22," Pepsi, Where's My Jet? ", United States , 11/17/2022 , Documentary ,7,,968,season 1 
17-Nov-22,1899, Germany , 11/17/2022 , Science Fiction ,7.4,76,18074,season 1 
17-Nov-22, Dead to Me , United States , 05/03/2019 , Drama ,8,88,7906,season 3 
16-Nov-22, Mind Your Manners , United States , 11/16/2022 , Reality-Show ,5.9,,,season 1 
15-Nov-22, Run for the Money , Japan , 11/15/2022 , Reality-Show ,7.2,,99,season 1 
11-Nov-22, Ancient Apocalypse , United Kingdom , 11/11/2022 , Documentary ,7.3,,2339,season 1 
11-Nov-22, Down to Earth with Zac Efron , United States , 07/10/2020 , Documentary ,8,71,3896,season 2 
10-Nov-22, Warrior Nun , United States , 07/02/2020 , Fantasy ,7,84,15992,season 2 
9-Nov-22, FIFA Uncovered , United States , 11/09/2022 , Documentary ,7.4,,1773,season 1 
9-Nov-22, The Crown , United Kingdom , 11/04/2016 , History ,8.6,86,52506,season 5 
8-Nov-22, Triviaverse , United States , 11/08/2022 , Quiz Show ,6.3,,,
7-Nov-22, Woman of the Dead , Austria , 11/07/2022 , Crime ,6.8,,2471,season 1 
7-Nov-22, Behind Every Star , South Korea , 11/07/2022 , Comedy ,7,,218,
7-Nov-22, Deepa & Anoop , United States , 08/15/2022 , Animation ,8.1,,,season 2 
6-Nov-22, Dangerous Liaisons , France , 07/08/2022 , Drama ,4,,5618,season 1 
4-Nov-22, Buying Beverly Hills , United States , 11/04/2022 , Reality-Show ,5.4,,648,season 1 
4-Nov-22, Manifest , United States , 09/24/2018 , Mystery ,7.1,78,69564,season 4 
3-Nov-22, Blockbuster , United States , 11/03/2022 , Comedy ,5.1,,230,season 1 
3-Nov-22, The Dragon Prince , Canada , 09/14/2018 , Animation ,8.3,100,128,season 4 
2-Nov-22, Killer Sally , United States , 11/02/2022 , Documentary ,6.7,,1174,season 1 
1-Nov-22, Young Royals , Sweden , 07/01/2021 , Drama ,8.3,100,2808,season 2 
1-Nov-22, Gabby's Dollhouse , United States , 01/05/2021 , Animation ,7.2,,5479,season 6 
30-Oct-22, Under Fire , Belgium , 09/12/2021 , Drama ,6.8,,170,season 2 
28-Oct-22, Indian Predator: Murder in a Courtroom , India , 10/28/2022 , Documentary ,7.2,,103,season 1 
28-Oct-22, If Only , Spain , 10/28/2022 , Drama ,6.1,,1034,season 1 
28-Oct-22, I Am a Stalker , United States , 10/28/2022 , Documentary ,6.4,,161,season 1 
28-Oct-22, Drink Masters , United States , 10/28/2022 , Reality-Show ,6.7,,42,season 1 
28-Oct-22, Shards of Her , Taiwan , 10/28/2022 , Crime ,6.9,,411,
28-Oct-22, The Bastard Son & the Devil Himself , United Kingdom , 10/28/2022 , Fantasy ,7.5,,3039,season 1 
