release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
Oct 192022, Gang Zielonej Rękawiczki , Poland , 10/19/2022 , Crime ,6.5,,295,season 1 
Oct 192022, Love Is Blind , United States , 02/13/2020 , Reality-Show ,4.2,70,34054,season 3 
Oct 182022, Unsolved Mysteries , United States , 07/01/2020 , Documentary ,7.3,78,10493,season 3 
Oct 182022, Somebody Feed Phil , United States , 01/12/2018 , Documentary ,8.3,80,49,season 6 
Oct 172022, Waffles + Mochi's Restaurant , United States , 10/17/2022 , Reality-Show ,7.4,,,season 1 
Oct 142022, Take 1 , United States , 10/14/2022 , Documentary ,7.5,,12,season 1 
Oct 142022, Sagrada familia , Spain , 10/14/2022 , Drama ,6.5,,1743,season 1 
Oct 142022, Tutto chiede salvezza , Italy , 10/14/2022 , Drama ,7.4,,337,season 1 
Oct 132022, Maestro in Blue , Greece , 10/13/2022 , Drama ,8.4,,1225,season 1 
Oct 132022, exception , Japan , 10/13/2022 , Animation ,6.5,,,season 1 
Oct 132022, The Watcher , United States , 10/13/2022 , Mystery ,6.5,56,15699,season 1 
Oct 132022, Sue Perkins: Perfectly Legal , United Kingdom , 10/13/2022 , Documentary ,6.7,,,season 1 
Oct 132022, The Playlist , Sweden , 10/13/2022 , Drama ,7.5,100,1011,season 1 
Oct 132022, Dead End: Paranormal Park , United Kingdom , 06/16/2022 , Animation ,6.9,,12,season 2 
Oct 122022, Easy-Bake Battle: The Home Cooking Competition , United States , 10/12/2022 , Reality-Show ,6.3,,58,season 1 
Oct 112022, Iliza Shlesinger: Hot Forever , United States , 10/11/2022 , Record ,6.6,,,
Oct 112022, Island of the Sea Wolves , United Kingdom , 10/11/2022 , Documentary ,7.8,,16,season 1 
Oct 102022, Spirit Rangers , United States , 10/10/2022 , Animation ,7.3,,101,season 1 
Oct 72022, Oddballs , United States , 10/07/2022 , Animation ,6.4,,154,season 1 
Oct 72022, Man on Pause , Turkey , 10/07/2022 , Comedy ,6.8,,399,season 1 
Oct 72022, The Mole , United States , 10/07/2022 , Reality-Show ,7.6,,881,season 1 
Oct 72022, Conversations with a Killer: The Jeffrey Dahmer Tapes , United States , 10/07/2022 , Documentary ,7.3,,3832,season 1 
Oct 72022, Glitch , South Korea , 10/07/2022 , Science Fiction ,6.2,,195,season 1 
Oct 72022, The Midnight Club , United States , 10/07/2022 , Horror ,6.5,87,6307,season 1 
Oct 62022, Aftershock: Everest and the Nepal Earthquake , United Kingdom , 09/14/2022 , Documentary ,7.3,,229,season 1 
Oct 52022, High Water , Poland , 10/05/2022 , Drama ,7.2,,5280,season 1 
Oct 52022, Bling Empire , United States , 01/15/2021 , Reality-Show ,5.8,,5671,season 3 
Oct 52022, Nailed It! , United States , 03/09/2018 , Reality-Show ,7.5,74,403,season 7 
Oct 52022, Mob Psycho 100 , Japan , 01/12/2018 , Science Fiction ,8.6,,,season 3 
Oct 42022, Detective Conan: The Culprit Hanzawa , Japan , 10/04/2022 , Animation ,6.5,,,
Oct 32022, Chip and Potato , Canada , 10/15/2018 , Animation ,6.5,,8,season 3 
Oct 22022, Forever Queens , Mexico , 10/02/2022 , Reality-Show ,6.8,,79,
Sep 302022, Human Playground , United States , 09/30/2022 , Documentary ,6.8,,60,season 1 
Sep 302022, Entergalactic , United States , 09/30/2022 , Animation ,7.3,,30,season 1 
Sep 302022, Floor is Lava , United States , 06/19/2020 , Reality-Show ,5.3,50,6050,season 3 
Sep 292022, The Empress , Germany , 09/29/2022 , History ,7.8,,10195,season 1 
Sep 282022, Eat the Rich: The GameStop Saga , United States , 09/28/2022 , Documentary ,6.2,88,31,season 1 
Sep 282022, Too Hot to Handle: Brazil , Brazil , 07/21/2021 , Reality-Show ,5.3,40,2629,season 2 
Sep 282022, Inside the World's Toughest Prisons , United Kingdom , 04/20/2016 , Documentary ,6.3,,3308,season 6 
Sep 262022, Inside Man , United Kingdom , 09/26/2022 , Crime ,6.6,62,6029,season 1 
Sep 232022, The Cage , Kuwait , 09/23/2022 , Comedy ,6.3,,742,season 1 
Sep 232022, The Girls at the Back , Spain , 09/23/2022 , Comedy ,7.6,,409,season 1 
Sep 232022, Jamtara - Sabka Number Ayega , India , 01/10/2020 , Crime ,7.3,,1323,season 2 
Sep 222022, Black Butterflies , France , 09/22/2022 , Crime ,7.5,,305,season 1 
Sep 222022, Thai Cave Rescue , Thailand , 09/22/2022 , Drama ,7.8,71,2532,season 1 
Sep 222022, Karma’s World , United States , 10/15/2021 , Animation ,7.3,,21,season 4 
Sep 222022, Snabba Cash , Sweden , 04/07/2021 , Crime ,7.6,,3395,season 2 
Sep 212022, Dahmer – Monster: The Jeffrey Dahmer Story , United States , 09/21/2022 , Crime ,7.9,57,34086,season 1 
Sep 212022, Iron Chef: Mexico , Mexico , 09/21/2022 , Reality-Show ,6.4,,6,season 1 
Sep 212022, Designing Miami , United States , 09/21/2022 , Reality-Show ,7.1,,5,season 1 
Sep 212022, Only for Love , Brazil , 09/21/2022 , Drama ,7.8,,6,season 1 
Sep 212022, Wanna , Italy , 09/21/2022 , Documentary ,6.7,,139,
Sep 202022, Cunk on Earth , United Kingdom , 04/03/2018 , Comedy ,8.1,,810,season 1 
Sep 202022, Go Dog Go , United States , 01/26/2021 , Animation ,7.2,,2886,season 3 
Sep 192022, Les Combattantes , France , 09/19/2022 , War ,7.5,,4902,season 1 
Sep 162022, The Brave Ones , South Africa , 09/16/2022 , Fantasy ,4.9,,325,season 1 
Sep 162022, Gymnastics Academy: A Second Chance , Australia , 09/16/2022 , Drama ,6.4,,317,season 1 
Sep 162022, Santo , Spain , 09/16/2022 , Crime ,5,,654,season 1 
