,fanfic_id,series_name
572,48408883,Shelter from the Storm
573,48396433,Foxxy's Dom!George Universe
574,48352765,Here Amidst the Chaos
575,48409744,Lockwood and Co Angst 2023
576,48536566,no one wins this kind of thing
577,48259729,i could walk in my garden forever
578,48812923,Not Dead Yet
579,48666739,As London Burns
580,48705856,no one wins this kind of thing
581,48715675,As London Burns
582,48806950,As London Burns
583,48806998,As London Burns
584,48611209,As London Burns
585,48583030,no one wins this kind of thing
586,48637726,As London Burns
587,48763933,As London Burns
588,48833458,Tea Rings and Biscuit Crumbs
589,48560389,As London Burns
590,48702007,London Calling
591,48842068,Lockwood & His Collection Of Idiots
592,48748432,London Calling
593,48869611,Lockwood and Co Angst 2023
594,48856123,take pride in what is sure to die
595,48862312,burning the wick at both ends
596,48854899,Tea Rings and Biscuit Crumbs
597,48896122,"Yes, Sir"
598,48885256,Gone
599,49162249,Sweet Somethings
600,49069381,Something I Like
601,49383118,Joe & Co. - The Case of the Curious Cabbies
602,48986068,The Punishment
603,49263856,And All The Pieces Fall
604,48926989,"they don't mean to, but they do"
605,49306138,I Had the Time of My Life Fighting Dragons With You
606,49204378,Unexpected Moments
607,49102687,in each and every universe
608,49112893,Stay
609,49177294,"they don't mean to, but they do"
610,49350133,Riders on the Storm
611,49164154,As London Burns
612,49330609,who follows the rules anyway?
613,49018657,As London Burns
614,49329886,And All The Pieces Fall
615,49299289,Tea Rings and Biscuit Crumbs
616,49234888,Unexpected Moments
617,49156138,Unexpected Moments
618,49116883,As London Burns
619,49192126,Something I Like
620,49115911,Unexpected Moments
621,49093756,As London Burns
622,49362166,And All The Pieces Fall
623,48906745,Stay
624,48940747,Expanding on L&Co Universe (Canon Compliant)
625,48940450,Lockwood & Co Marine Bio AU-verse
626,49286419,As London Burns
627,49125118,let people say that we're in love
628,49321108,Getting to the Bottom of It
629,49338292,I Had the Time of My Life Fighting Dragons With You
630,49213702,Unexpected Moments
631,49002253,Anthony Lockwood Has Fibromyalgia
632,49449400,Waltz in Four
633,49432429,And All The Pieces Fall
634,49386217,Joe & Co. - The Case of the Curious Cabbies
635,49498546,And All The Pieces Fall
636,49420969,Lockwood & His Collection Of Idiots
637,49409632,As London Burns
638,49405678,Unexpected Moments
639,49385602,Joe & Co. - The Case of the Curious Cabbies
640,49387075,Unexpected Moments
641,49471582,Lockwood & Co
642,49493581,Getting to the Bottom of It
643,49495663,Unexpected Moments
644,49477813,Lockwood & His Collection Of Idiots
645,49531678,And All The Pieces Fall
