,fanfic_id,kudos,bookmarks,comments,hits,date_scraped
487,47298775,46,3,5,441,2023-08-24
488,46523497,57,2,14,"1,075",2023-08-24
489,46043956,43,6,6,328,2023-08-24
490,45384694,39,5,2,408,2023-08-24
491,45236284,166,9,7,"1,278",2023-08-24
492,47756305,50,1,8,556,2023-08-24
493,47837212,55,2,6,291,2023-08-24
494,47542519,108,1,4,"1,308",2023-08-24
495,47365585,123,7,10,"1,172",2023-08-24
496,47429638,63,4,28,"1,190",2023-08-24
497,45903418,135,14,34,"1,618",2023-08-24
498,47052190,85,6,30,"1,574",2023-08-24
499,47478904,165,6,47,"1,338",2023-08-24
500,45692785,152,15,28,"3,581",2023-08-24
501,46514173,553,101,72,"3,289",2023-08-24
502,47477497,63,4,23,444,2023-08-24
503,47289190,89,6,26,661,2023-08-24
504,47645983,147,4,26,902,2023-08-24
505,46755508,142,18,116,"6,739",2023-08-24
506,47150023,69,8,29,514,2023-08-24
507,46883998,119,6,10,791,2023-08-24
508,47878120,25,1,3,230,2023-08-24
509,46948807,153,11,11,887,2023-08-24
510,47712694,48,1,2,625,2023-08-24
511,46801870,143,12,24,"1,071",2023-08-24
512,46446238,153,5,8,"1,017",2023-08-24
513,47246881,36,5,5,982,2023-08-24
514,47335369,179,16,10,981,2023-08-24
515,45996544,149,19,33,979,2023-08-24
516,47463505,232,24,299,"4,771",2023-08-24
517,47328118,30,3,6,483,2023-08-24
518,46958662,2,,2,50,2023-08-24
519,47887528,36,,8,274,2023-08-24
520,46200703,191,14,8,"1,523",2023-08-24
521,47774725,147,10,50,"1,505",2023-08-24
522,47622721,157,12,33,"1,645",2023-08-24
523,46840903,167,5,16,"1,226",2023-08-24
524,47479732,81,3,2,769,2023-08-24
525,47111407,142,11,58,"2,953",2023-08-24
526,45382279,198,12,11,"2,029",2023-08-24
527,44980717,427,49,27,"3,245",2023-08-24
528,45430231,321,43,50,"1,916",2023-08-24
529,47476684,84,3,73,555,2023-08-24
530,44775925,146,23,8,683,2023-08-24
531,47357278,216,22,17,"1,415",2023-08-24
532,44866711,157,22,4,"1,053",2023-08-24
533,47226187,371,20,224,"7,265",2023-08-24
534,45453100,143,8,13,"2,253",2023-08-24
535,45343027,255,20,10,"1,163",2023-08-24
536,47239780,12,1,,147,2023-08-24
537,47039659,85,5,10,992,2023-08-24
538,47748139,178,16,49,"1,199",2023-08-24
539,47601052,61,3,21,968,2023-08-24
540,47223478,104,11,7,816,2023-08-24
541,45991525,25,1,4,202,2023-08-24
542,47111422,109,11,39,"1,098",2023-08-24
543,45626824,1,,,75,2023-08-24
544,47008549,6,1,7,178,2023-08-24
545,45314428,838,104,78,"5,177",2023-08-24
546,47529664,10,1,2,75,2023-08-24
547,45239863,153,8,9,"1,386",2023-08-24
548,45641044,285,21,17,"1,591",2023-08-24
549,47748958,95,6,22,660,2023-08-24
550,46023349,285,43,156,"2,327",2023-08-24
551,47649367,22,2,2,126,2023-08-24
552,45906103,170,10,7,751,2023-08-24
553,45174844,179,13,22,"1,194",2023-08-24
554,44929192,242,23,7,"1,452",2023-08-24
555,47387896,168,10,21,987,2023-08-24
556,46961713,103,4,16,812,2023-08-24
557,46306240,144,13,12,830,2023-08-24
558,47530894,,,,,2023-08-24
559,46769848,174,20,27,"1,371",2023-08-24
560,47358256,71,6,5,513,2023-08-24
561,47444356,31,1,12,280,2023-08-24
562,46975225,7,1,16,288,2023-08-24
563,45599281,75,5,7,594,2023-08-24
564,46631287,79,4,5,470,2023-08-24
565,45356128,270,29,172,"5,361",2023-08-24
566,47085679,64,3,14,744,2023-08-24
567,47305393,8,,,91,2023-08-24
568,47240005,39,2,4,221,2023-08-24
569,47020771,64,11,41,503,2023-08-24
570,47676805,107,14,15,756,2023-08-24
571,47836897,44,2,4,393,2023-08-24
572,47421412,,,,,2023-08-24
573,46837375,115,4,14,976,2023-08-24
574,47116633,156,14,51,"2,203",2023-08-24
575,47395024,,,,,2023-08-24
576,45665917,301,73,29,"2,398",2023-08-24
577,47557849,103,8,7,672,2023-08-24
578,46868878,84,5,5,911,2023-08-24
579,45992686,62,2,1,727,2023-08-24
580,45548176,30,1,8,185,2023-08-24
581,46368685,"1,151",140,"1,292","20,800",2023-08-24
582,45991024,46,1,2,547,2023-08-24
583,47882767,10,,8,70,2023-08-24
584,47304523,119,15,29,"1,750",2023-08-24
585,47261371,147,20,17,846,2023-08-24
586,47655850,,,,,2023-08-24
587,45388015,120,28,2,530,2023-08-24
588,46931290,81,7,9,617,2023-08-24
589,47280757,13,2,,266,2023-08-24
590,47556925,25,2,7,222,2023-08-24
591,46811059,41,,12,"1,092",2023-08-24
592,47524435,35,4,15,202,2023-08-24
593,46834150,58,4,11,367,2023-08-24
594,45753532,81,6,5,590,2023-08-24
595,46442104,27,1,5,402,2023-08-24
596,45709906,48,7,4,180,2023-08-24
597,46160290,134,7,13,898,2023-08-24
598,45174676,638,151,184,"4,184",2023-08-24
599,47618998,108,4,93,"1,461",2023-08-24
600,47311807,52,3,20,685,2023-08-24
601,46855372,,,,,2023-08-24
602,46476442,40,6,10,157,2023-08-24
603,46899043,16,4,4,203,2023-08-24
604,46914460,103,7,16,916,2023-08-24
605,46995487,42,2,13,610,2023-08-24
606,46541410,81,8,14,351,2023-08-24
607,47037772,42,1,16,845,2023-08-24
608,47357743,26,1,12,776,2023-08-24
609,46844269,58,3,6,568,2023-08-24
610,47860891,235,34,275,"4,141",2023-08-24
611,47103748,107,9,27,"1,106",2023-08-24
612,47676889,64,2,9,468,2023-08-24
613,47361427,94,17,84,967,2023-08-24
614,47230567,45,1,5,378,2023-08-24
615,46960003,39,2,4,408,2023-08-24
616,47381956,49,,7,"1,289",2023-08-24
617,46769455,171,11,9,"1,182",2023-08-24
618,46789153,69,3,11,486,2023-08-24
619,47835571,75,,19,562,2023-08-24
620,46760389,208,20,26,"3,824",2023-08-24
621,47871481,66,1,30,"1,137",2023-08-24
622,47881369,6,,,127,2023-08-24
623,47042170,43,1,16,722,2023-08-24
624,46789861,17,1,,448,2023-08-24
625,46998766,60,4,22,506,2023-08-24
626,47830324,18,,2,195,2023-08-24
627,46801495,226,19,15,"2,992",2023-08-24
628,47088046,30,5,8,556,2023-08-24
629,47693110,45,4,6,410,2023-08-24
630,46892845,32,2,4,320,2023-08-24
